weekday_averages,weekday_counts,weekday_totals,weekend_averages,weekend_counts,weekend_totals
2273,17,38656,1495,17,25421
1571,17,26722,2239,16,35836
2572,9,23155,1203,9,10831
2067,15,31014,1848,14,25883
2535,20,50719,1332,19,25314
2034,17,34583,1702,17,28948
2207,14,30899,1814,12,21777
2623,19,49846,1154,19,21935
1915,14,26817,1873,14,26222
2726,20,54530,1237,18,22274
2616,18,47102,1303,17,22155
3045,14,42633,872,13,11339
1930,10,19304,2058,9,18527
2523,11,27763,1356,11,14922
2837,11,31207,1264,9,11383
1827,13,23754,2024,13,26323
1595,15,23931,2375,14,33261
1867,17,31749,1999,17,33993
2403,13,31249,1569,12,18835
1828,13,23770,2003,13,26039
1801,13,23416,2032,13,26421
3014,13,39193,961,12,11543
1981,14,27744,1900,14,26603
1844,13,23973,2037,13,26485
1923,19,36537,2140,18,38520
1782,9,16042,2121,9,19092
2171,15,32571,2110,13,27436
2980,12,35765,1059,11,11655
2710,9,24392,1462,8,11697
2302,14,32239,1787,13,23241
2559,11,28156,1538,10,15389
1638,10,16381,2626,9,23637
1241,10,12411,2658,10,26581
2161,15,32424,1914,14,26807
3036,12,36437,976,12,11717
1016,4,4064,2960,4,11842
2062,8,16500,2591,6,15546
